the;1768;4.23341%
a;1148;2.74884%
of;992;2.37531%
and;988;2.36573%
I;969;2.32024%
to;944;2.26037%
that;729;1.74556%
in;666;1.59471%
was;636;1.52288%
it;574;1.37442%
he;559;1.33851%
you;537;1.28583%
s;387;0.926658%
had;357;0.854824%
his;344;0.823696%
Andy;329;0.787779%
on;315;0.754256%
t;310;0.742284%
for;286;0.684817%
have;268;0.641716%
as;244;0.584249%
He;231;0.553121%
with;229;0.548332%
him;212;0.507626%
at;208;0.498049%
or;200;0.478893%
out;197;0.471709%
up;188;0.450159%
one;168;0.40227%
me;166;0.397481%
there;166;0.397481%
all;165;0.395087%
but;162;0.387903%
is;160;0.383114%
The;159;0.38072%
they;159;0.38072%
like;157;0.375931%
said;155;0.371142%
my;152;0.363959%
been;150;0.35917%
just;150;0.35917%
were;149;0.356775%
would;149;0.356775%
be;146;0.349592%
get;141;0.337619%
if;141;0.337619%
who;137;0.328042%
about;136;0.325647%
man;131;0.313675%
them;128;0.306491%
time;128;0.306491%
could;123;0.294519%
what;123;0.294519%
It;117;0.280152%
from;117;0.280152%
can;116;0.277758%
not;113;0.270574%
And;111;0.265786%
got;110;0.263391%
when;103;0.24663%
your;103;0.24663%
d;100;0.239446%
this;98;0.234657%
But;93;0.222685%
down;89;0.213107%
so;89;0.213107%
years;89;0.213107%
You;86;0.205924%
back;86;0.205924%
into;85;0.203529%
no;85;0.203529%
some;84;0.201135%
know;83;0.198741%
Norton;82;0.196346%
think;82;0.196346%
did;81;0.193952%
by;79;0.189163%
two;79;0.189163%
are;77;0.184374%
then;77;0.184374%
do;76;0.181979%
going;76;0.181979%
over;76;0.181979%
than;76;0.181979%
an;74;0.17719%
didn;71;0.170007%
little;71;0.170007%
Dufresne;69;0.165218%
That;69;0.165218%
go;68;0.162824%
prison;68;0.162824%
those;68;0.162824%
ll;67;0.160429%
their;67;0.160429%
told;67;0.160429%
after;66;0.158035%
don;66;0.158035%
more;66;0.158035%
never;66;0.158035%
way;65;0.15564%
three;64;0.153246%
big;62;0.148457%
how;62;0.148457%
went;62;0.148457%
